 4.200 -2.900  0.0693  0.0100  0.0663  0.0112  0.0692  0.0246
 4.200 -2.700  0.0887  0.0150  0.1082  0.0226  0.0945  0.0195
 4.200 -2.500  0.1684  0.0221  0.1167  0.0266  0.1085  0.0116
 4.200 -2.300  0.1655  0.0197  0.1339  0.0127  0.1651  0.0325
 4.200 -2.100  0.2053  0.0212  0.1911  0.0194  0.2312  0.0691
 4.200 -1.900  0.2156  0.0160  0.1985  0.0153  0.2202  0.0283
 4.200 -1.700  0.2184  0.0180  0.2579  0.0205  0.2469  0.0298
 4.200 -1.500  0.1745  0.0098  0.1932  0.0173  0.2026  0.0244
 4.200 -1.300  0.0946  0.0065  0.1626  0.0144  0.1509  0.0181
 4.200 -1.100  0.0293  0.0051  0.0774  0.0063  0.0943  0.0093
 4.600 -2.900  0.1171  0.0702  0.1080  0.0559  0.0698  0.0185
 4.600 -2.700  0.1073  0.0213  0.1403  0.0367  0.0899  0.0193
 4.600 -2.500  0.2170  0.0382  0.0793  0.0174  0.1764  0.0358
 4.600 -2.300  0.1401  0.0203  0.1953  0.0297  0.2040  0.0330
 4.600 -2.100  0.2844  0.0351  0.2454  0.0459  0.1708  0.0410
 4.600 -1.900  0.3270  0.0263  0.3728  0.0808  0.3284  0.0867
 4.600 -1.700  0.3023  0.0416  0.3061  0.0277  0.2983  0.0423
 4.600 -1.500  0.2295  0.0208  0.2805  0.0535  0.3143  0.0312
 4.600 -1.300  0.1202  0.0134  0.2238  0.0511  0.2255  0.0235
 4.600 -1.100  0.0396  0.0087  0.1006  0.0105  0.1263  0.0099
 5.000 -2.900  0.1388  0.0640  0.0525  0.0347  0.2132  0.0699
 5.000 -2.700  0.1823  0.0769  0.1443  0.0358  0.1565  0.0418
 5.000 -2.500  0.3350  0.0614  0.2810  0.0427  0.1944  0.0339
 5.000 -2.300  0.4306  0.1343  0.3370  0.0664  0.2146  0.0465
 5.000 -2.100  0.4022  0.0316  0.4442  0.2394  0.4000  0.0495
 5.000 -1.900  0.6311  0.0413  0.4255  0.0629  0.5275  0.1072
 5.000 -1.700  0.4577  0.0990  0.7163  0.3377  0.5378  0.0775
 5.000 -1.500  0.4701  0.0420  0.5207  0.1033  0.6175  0.0691
 5.000 -1.300  0.3117  0.1329  0.4378  0.0401  0.4716  0.0464
 5.000 -1.100  0.3153  0.2357  0.3056  0.0271  0.3087  0.0375
 5.400 -2.900  0.2948  0.1081  0.0950  0.0249  0.2589  0.0519
 5.400 -2.700  0.3351  0.0568  0.1755  0.1518  0.4118  0.0913
 5.400 -2.500  0.4884  0.1020  0.4663  0.3069  0.5012  0.0841
 5.400 -2.300  0.6618  0.0860  0.3506  0.1713  0.6098  0.1032
 5.400 -2.100  0.6395  0.1018  0.4298  0.2522  0.9234  0.1967
 5.400 -1.900  1.0696  0.2185  0.4509  0.1921  1.0208  0.0935
 5.400 -1.700  1.0521  0.2153  0.6253  0.3541  1.2698  0.2307
 5.400 -1.500  1.3677  0.3428  0.7664  0.4389  1.3835  0.4087
 5.400 -1.300  1.2767  0.3927  0.4663  0.0465  1.0974  0.2216
 5.400 -1.100  1.2482  0.4808  0.5459  0.1984  0.8725  0.1561
